               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.05544,            0.085541,                   0,             0.66161,             0.60813,             0.63192,             0.27052,            0.057926,            0.074754,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.056191,              0.0891,                   0,             0.66751,             0.60398,             0.63067,             0.27031,            0.058105,            0.073958,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.055313,            0.088193,                   0,             0.68358,             0.62479,             0.65962,             0.28374,            0.056169,            0.073195,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.056042,            0.088836,                   0,             0.70852,             0.63599,             0.68523,             0.27001,            0.055793,            0.071449,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.054718,            0.087935,                   0,             0.72154,             0.62309,             0.68387,             0.29611,            0.053537,            0.071691,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.054384,             0.08545,                   0,             0.67613,             0.65195,             0.69858,             0.30406,            0.056323,             0.07153,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.055126,            0.088005,                   0,             0.71265,             0.61562,             0.65592,             0.28682,              0.0542,            0.073745,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.053783,            0.083812,                   0,             0.70477,             0.61686,             0.65834,             0.29134,            0.056006,            0.073419,                   0,            0.008515,            0.008515,            0.008515
                  47,               0.054,            0.086517,                   0,             0.72878,              0.6472,             0.69585,             0.29861,            0.052658,            0.071603,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.05369,            0.084615,                   0,              0.6711,             0.61935,             0.65627,             0.27371,            0.057428,            0.072594,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.055056,             0.08536,                   0,             0.68736,             0.70051,             0.71768,             0.30196,            0.056479,            0.070531,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.05451,            0.088797,                   0,             0.71813,             0.63769,             0.66899,             0.29649,            0.052901,            0.072894,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.054008,            0.088441,                   0,             0.70277,             0.66316,              0.7028,             0.30355,            0.052466,            0.071369,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.053816,            0.084355,                   0,             0.71045,             0.64924,             0.69255,             0.29758,            0.052995,            0.071369,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.054622,            0.087261,                   0,             0.70592,             0.59423,             0.67281,             0.30956,            0.055893,            0.074736,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.053788,            0.088356,                   0,             0.71163,             0.63192,             0.68331,             0.29527,            0.053586,            0.071818,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.054276,            0.085218,                   0,              0.7116,             0.66112,             0.70602,             0.31109,            0.052609,            0.071644,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.054167,            0.087106,                   0,             0.71629,             0.62071,             0.68941,              0.3062,            0.052803,            0.072462,                   0,            0.008185,            0.008185,            0.008185
